address,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,state,cuisine,negative_reviews,neutral_reviews,positive_reviews,stars
4140 S Durango Dr,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,False,,True,"{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,quiet,,False,casual,,True,True,1.0,True,True,True,,True,free,u4IDWradF0DQSdfiUNpS2Q,"Burgers, Restaurants, Chicken Wings, American (Traditional), Pizza",Las Vegas,10:0-2:0,10:0-0:0,10:0-2:0,11:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,1,36.1144314,-115.2781167,Tasty Grill,Spring Valley,89147,135,NV,american,15.0,16.0,104.0,4.029629629629629
"10410 S Decatur Blvd, Ste 100",,,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,,,,,,,,True,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,False,,,,False,casual,,False,True,1.0,False,,True,,,no,HJ785L7KY6ClATb1KEiXHg,"American (Traditional), Fast Food, Restaurants, Desserts, Food",Las Vegas,10:0-23:0,10:0-22:0,10:0-23:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,1,36.0002015856,-115.207334681,DQ Grill & Chill,Southwest,89141,16,NV,american,7.0,2.0,7.0,2.375
7006 W Charleston Blvd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,False,,,,False,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,True,True,1.0,False,True,True,,True,no,95TwO5NbFeH7Kz7_OYr1Ig,"Cheesesteaks, Burgers, American (Traditional), Chicken Wings, Restaurants",Las Vegas,11:0-20:0,11:0-20:0,9:0-20:0,,11:0-20:0,11:0-20:0,11:0-20:0,0,36.15978060000001,-115.2517789,Triple Play American Grill,Westside,89117,80,NV,american,6.0,11.0,63.0,4.5625
7315 Arroyo Crossing Pkwy,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,True,True,True,,True,no,pRlO48w4GkWEPEYIH2tHsw,"French, American (Traditional), Restaurants, Breakfast & Brunch",Las Vegas,7:0-23:0,7:0-22:0,7:0-23:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,0,36.061812,-115.25176100000002,Mimi's Cafe,Spring Valley,89113,65,NV,american,11.0,10.0,44.0,3.2
"Monte Carlo Hotel And Casino, 3770 Las Vegas Blvd S",,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,True,True,True,no,True,no,U-zsJM-VN89i3PbaIbKmJw,"Restaurants, Nightlife, American (Traditional), Breakfast & Brunch, Pubs, Bars",Las Vegas,7:0-1:0,7:0-23:0,7:0-1:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,0,36.105489493600004,-115.17617271,The Pub at Monte Carlo,The Strip,89109,604,NV,american,138.0,79.0,387.0,3.0
"9773 W Flamingo Rd, Ste 1",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,True,,,,False,,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,True,,quiet,,False,casual,,False,True,1.0,False,False,True,,True,free,RLvyPLb8uNeHW6mli1yOZA,"Internet Cafes, Breakfast & Brunch, Popcorn Shops, Food, Juice Bars & Smoothies, Specialty Food, American (Traditional), Beverage Store, Restaurants, Desserts",Las Vegas,8:0-23:0,8:0-22:0,9:0-23:0,,8:0-22:0,8:0-22:0,8:0-22:0,1,36.11400620000001,-115.3056816,Fiiz Drinks Las Vegas,Spring Valley,89147,51,NV,american,3.0,3.0,45.0,4.529411764705882
3799 S Las Vegas Blvd,,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,False,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}",,,False,,loud,,False,casual,,False,True,2.0,False,False,True,,,no,FWBWBnM2zjycBI7QrayklA,"Restaurants, Burgers, Sandwiches, Fast Food, Salad, American (Traditional), Diners",Las Vegas,,,,,,,,1,36.102262,-115.169965,Johnny Rockets,The Strip,89109,19,NV,american,8.0,4.0,7.0,2.526315789473684
3799 Las Vegas Blvd S,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,False,,,,,False,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}",,False,False,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,no,True,free,yjME88ri8wpBDm6i0xoi9Q,"Nightlife, Bars, American (Traditional), Restaurants",Las Vegas,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,6:0-14:0,1,36.102493,-115.17148799999998,Avenue Cafe,The Strip,89109,259,NV,american,62.0,50.0,147.0,3.0617760617760617
2601 Atlantic St,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,,,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,True,True,2.0,False,True,True,,True,no,8fjF2NIPSM0Ar1hed2tdog,"Restaurants, Bars, American (Traditional), Pizza, Nightlife, American (New), Sandwiches",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0,36.142401,-115.114898,Gilligan's HideAway,Eastside,89121,28,NV,american,1.0,3.0,24.0,4.392857142857143
6261 Dean Martin Dr,,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,True,,,,False,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}",,,True,,average,,False,casual,,True,False,2.0,False,False,True,,True,free,3BCsAgo_1i4xMuTyLKMLRQ,"American (Traditional), Delis, Restaurants, Food, Breakfast & Brunch, Juice Bars & Smoothies, Food Delivery Services, American (New)",Las Vegas,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,1,36.075969145900004,-115.1817241,SkinnyFATS,,89118,2034,NV,american,135.0,181.0,1718.0,4.312192723697149
"Aladdin Casino & Resort, 3667 Las Vegas Blvd S.",,,,,,,,,,True,,,,,,,,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,,,average,,,,,,,,,,True,,,,LJvGjabschy4zGXwnAk2Wg,"Restaurants, American (Traditional)",Las Vegas,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,6:0-6:0,0,36.1096948,-115.1701624,Zanzibar Cafe,The Strip,89109,6,NV,american,3.0,2.0,1.0,3.0
3801 S Las Vegas Blvd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,,,average,,True,casual,,False,True,2.0,True,True,False,,,no,zcgArjObRzQRH6MaqTPDmQ,"Restaurants, Cafes, American (Traditional)",Las Vegas,,,,,,,,0,36.09903900000001,-115.17044,Cafe Nikki,The Strip,89109,3,NV,american,1.0,,2.0,2.0
4321 W Flamingo Rd,,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': True}",,yes_free,,False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,,,,,,,True,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,loud,,False,casual,,False,True,2.0,False,False,True,,,no,Kyl7Iaubsz3vvfykxdcmjA,"Hot Dogs, Cheesesteaks, American (Traditional), Restaurants, American (New)",Las Vegas,,,,,,,,0,36.114375,-115.19581,Nathan's Famous,,89103,29,NV,american,11.0,6.0,12.0,2.9310344827586206
1383 E Silverado Ranch Rd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",quiet,,False,casual,,False,True,1.0,False,True,True,yes,True,no,F-g0QH4IvrFtJUVRzDtzCA,"Restaurants, American (Traditional), Pizza, Sports Bars, Breakfast & Brunch, Nightlife, Pubs, Bars, American (New)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.012828544099996,-115.133871,Pt's Gold,Southeast,89123,27,NV,american,8.0,3.0,16.0,2.5555555555555554
"4155 S Buffalo Dr, Ste 105",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,False,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,average,,False,casual,,True,True,2.0,False,True,True,,True,free,HYKTKG3X7jtLe6elxp63JQ,"Seafood, Vegan, Fish & Chips, Sandwiches, Restaurants, American (Traditional)",Las Vegas,11:0-20:0,11:0-20:0,11:0-20:0,12:0-18:0,11:0-20:0,11:0-20:0,11:0-20:0,1,36.1133039,-115.2618797,Off the Hook,Spring Valley,89147,412,NV,american,40.0,41.0,331.0,4.216019417475728
"8465 West Sahara, Ste 100",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}",,,False,,average,,False,casual,,False,True,2.0,False,True,True,,,free,wlQCPszSqUi2xpGqZsWjLA,"Restaurants, American (Traditional), Cafes, Breakfast & Brunch",Las Vegas,6:30-14:30,6:30-14:30,6:30-14:30,7:0-14:30,6:30-14:30,6:30-14:30,6:30-14:30,0,36.143431,-115.275792,Biscuits Cafe,Westside,89117,264,NV,american,51.0,28.0,185.0,3.617424242424242
4543 N Rancho Dr,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,True,,,,True,,,True,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,False,True,True,,True,free,ozEDKl0tZw5ob1evx41gcQ,"Pizza, Food, American (Traditional), Breweries, Restaurants",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.2424193447,-115.235810795,Big Dog's Draft House,Northwest,89130,425,NV,american,52.0,49.0,324.0,3.7505882352941176
1550 S Pavilion Center Dr,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,False,True,2.0,False,True,True,,,free,Zbq8tF7JmBBCqA69_gL5Uw,"Pizza, American (Traditional), Restaurants",Las Vegas,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,36.1545806,-115.3309194,"MacKenzie River Pizza, Grill & Pub",South Summerlin,89135,93,NV,american,18.0,11.0,64.0,3.4301075268817205
"Gold Coast Hotel and Casino, 4000 W Flamingo Rd",,,full_bar,"{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,no,,False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,,,,,,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}",,,False,,quiet,,False,casual,,False,True,2.0,True,True,True,,True,paid,hrub8NmZuJM-5vO6Rx6P-Q,"Steakhouses, Restaurants, American (Traditional)",Las Vegas,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,0,36.1160368623,-115.192422867,Cortez Room,,89103,92,NV,american,14.0,7.0,71.0,3.4565217391304346
"5785 W Tropicana Ave, Ste 3",,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,False,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,quiet,,True,casual,,True,True,1.0,True,True,True,,True,free,8pmGz3Lg4f_r7HdDZPa4dQ,"Restaurants, American (New), Barbeque, Food, Salad, Pizza, Italian, American (Traditional)",Las Vegas,11:0-22:0,11:0-22:0,11:0-22:0,11:0-21:30,11:0-22:0,11:0-22:0,11:0-22:0,1,36.0994967,-115.2200856,Payless Pizza,,89103,369,NV,american,52.0,44.0,272.0,4.211956521739131
1723 E Charleston Blvd,,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': True}",,,False,,average,,False,casual,,False,True,2.0,False,True,True,,,no,Pjg0ML-Se8fnbWgHHodGYQ,"Diners, American (Traditional), Restaurants, Mexican",Las Vegas,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,1,36.159254183200005,-115.12755545,The Blue Skillet Family Restaurant,Downtown,89104,46,NV,american,15.0,8.0,23.0,3.0652173913043477
3667 Las Vegas Blvd S,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,False,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",,False,,,,,False,,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,False,True,2.0,False,True,True,,,free,63Qj5E-GzHJ6vhjhGR4XDw,"American (Traditional), Chicken Wings, Pizza, Nightlife, Bars, Sports Bars, Restaurants, Burgers",Las Vegas,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,1,36.109404776999995,-115.17298151,"Ringer Wings, Pizza & Sliders",The Strip,89109,57,NV,american,18.0,11.0,28.0,2.8596491228070176
3397 S Las Vegas Blvd,,,none,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,False,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,,,,,,,True,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}",,,False,,average,,False,casual,,False,True,2.0,False,True,True,,True,free,Zdg1CnOe2zVDf5Egzf9RXw,"Restaurants, Diners, American (Traditional), Food, Breakfast & Brunch",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.120832,-115.171846,Denny's,The Strip,89109,243,NV,american,102.0,42.0,99.0,2.5308641975308643
3801 S Las Vegas Blvd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,False,,True,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': True}",,False,,,,False,,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,True,True,True,,True,paid,KRaxPApQv43oX6Dcv3jKQA,"Restaurants, American (Traditional)",Las Vegas,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,0,36.0990077275,-115.17141087600001,Beach Café,The Strip,89109,207,NV,american,54.0,23.0,130.0,3.0531400966183573
7860 W. Tropical Parkway,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,False,,True,"{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,False,casual,,False,True,2.0,False,True,True,,True,no,jBs2HmEOkqCvdHNnw3N-og,"American (Traditional), Sandwiches, Restaurants, Burgers",Las Vegas,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,36.271428,-115.266543,Red Robin Gourmet Burgers,Centennial,89149,319,NV,american,83.0,41.0,195.0,3.329153605015674
2460 W Warm Springs Rd,,,full_bar,,,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,False,,,,,,False,"{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,True,,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}",,,False,casual,,False,True,2.0,False,True,True,yes,True,,ocUYyjvsF9cRMilKuNxulA,"Bars, Pizza, Lounges, Nightlife, American (Traditional), Restaurants",Las Vegas,,,,,,,,0,36.057472,-115.175396,Screwballs Sports Lounge,Southeast,89119,7,NV,american,,,7.0,3.857142857142857
7155 S Rainbow Blvd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,False,,,True,,False,True,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,True,casual,,False,True,2.0,True,True,True,yes,True,free,FfG8twx5K18y268Gp4dSKA,"Restaurants, Chicken Wings, American (Traditional), Sports Bars, Bars, Nightlife",Las Vegas,6:30-5:0,6:30-5:0,6:30-5:0,6:30-5:0,6:30-5:0,6:30-5:0,6:30-5:0,1,36.057924322699996,-115.243338022,Hooters,Spring Valley,89118,313,NV,american,109.0,51.0,153.0,2.626198083067093
2245 E Flamingo Rd,,21plus,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",True,,True,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}",,,True,,,,,True,False,,,True,True,"{'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",loud,,True,dressy,,False,True,2.0,True,,False,outdoor,True,no,77AfVfvvjfQXslusY8QElg,"Restaurants, Bars, Dance Clubs, Nightlife, Sports Bars, American (Traditional), Event Planning & Services, Hookah Bars",Las Vegas,22:0-4:0,22:0-5:0,22:0-5:0,22:0-6:0,22:0-5:0,,22:0-6:0,1,36.1143535,-115.1218477,La Jolla,Eastside,89119,29,NV,american,7.0,2.0,20.0,3.310344827586207
865 West Craig Road,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,True,True,"{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,True,True,True,,True,no,5iSlHNIy3RLbCP5AayB31g,"Restaurants, Burgers, American (Traditional), Bars, Nightlife",Las Vegas,11:0-23:0,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1,36.2388340919,-115.15400649200001,Ruby Tuesday,,89032,181,NV,american,36.0,23.0,122.0,3.3701657458563536
"2010 Festival Plaza Dr, Ste 170",,,beer_and_wine,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,,True,False,True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,,,,,False,,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}",,,True,,average,,True,casual,,False,True,2.0,False,False,True,,,free,9c3LlXubVkbMwIrS8dIp0Q,"Restaurants, Gastropubs, Salad, Food, Barbeque, Burgers, American (Traditional)",Las Vegas,11:0-22:0,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,0,36.149123,-115.33293799999998,Ribs & Burgers,South Summerlin,89135,278,NV,american,43.0,29.0,205.0,3.545126353790614
9201 Del Webb Blvd,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,True,True,,quiet,,True,casual,,False,True,1.0,False,True,True,outdoor,,no,JAHvhS-EDRxtoArvrpA5JQ,"Beer, Wine & Spirits, Arts & Entertainment, Food, Pubs, Restaurants, Casinos, Bars, American (Traditional), Nightlife",Las Vegas,,,,,,,,0,36.2108128,-115.2955404,Five Star Tavern,Summerlin,89134,15,NV,american,7.0,,8.0,2.6666666666666665
8350 Grand Teton Dr,,,full_bar,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,"{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': False}",True,,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,False,,,,,False,False,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': True}",,True,True,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",average,,False,casual,,False,True,2.0,False,True,True,yes,True,free,x1fx7C_tc064cFATjl4fmQ,"Bars, Nightlife, Restaurants, Pubs, American (Traditional)",Las Vegas,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1,36.30660200000001,-115.2772369,The Lodge at Grand Teton,Centennial,89131,97,NV,american,26.0,15.0,56.0,3.0103092783505154
