address,BikeParking,BusinessAcceptsCreditCards,Caters,CoatCheck,GoodForKids,HappyHour,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,business_id,categories,city,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,latitude,longitude,name,neighborhood,postal_code,review_count,state,cuisine,cat,cat_Calgary_american_1.0,cat_Calgary_american_2.0,cat_Calgary_american_3.0,cat_Calgary_american_4.0,cat_Calgary_american_nan,cat_Calgary_chinese_1.0,cat_Calgary_chinese_2.0,cat_Calgary_chinese_3.0,cat_Calgary_chinese_nan,cat_Calgary_italian_1.0,cat_Calgary_italian_2.0,cat_Calgary_italian_3.0,cat_Calgary_italian_4.0,cat_Calgary_italian_nan,cat_Las Vegas_american_1.0,cat_Las Vegas_american_2.0,cat_Las Vegas_american_3.0,cat_Las Vegas_american_4.0,cat_Las Vegas_american_nan,cat_Las Vegas_chinese_1.0,cat_Las Vegas_chinese_2.0,cat_Las Vegas_chinese_3.0,cat_Las Vegas_chinese_4.0,cat_Las Vegas_chinese_nan,cat_Las Vegas_italian_1.0,cat_Las Vegas_italian_2.0,cat_Las Vegas_italian_3.0,cat_Las Vegas_italian_4.0,cat_Las Vegas_italian_nan,cat_Toronto_american_1.0,cat_Toronto_american_2.0,cat_Toronto_american_3.0,cat_Toronto_american_4.0,cat_Toronto_american_nan,cat_Toronto_chinese_1.0,cat_Toronto_chinese_2.0,cat_Toronto_chinese_3.0,cat_Toronto_chinese_4.0,cat_Toronto_chinese_nan,cat_Toronto_italian_1.0,cat_Toronto_italian_2.0,cat_Toronto_italian_3.0,cat_Toronto_italian_4.0,cat_Toronto_italian_nan,negative_reviews,neutral_reviews,positive_reviews,stars,ambience_romantic,ambience_intimate,ambience_classy,ambience_hipster,ambience_touristy,ambience_trendy,ambience_upscale,ambience_casual,good_for_dessert,good_for_latenight,good_for_lunch,good_for_dinner,good_for_breakfast,good_for_brunch,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,TotalOpenTimeInWeek,NumberOfWeekdaysWithEarlyOpening,NumberOfWeekdaysWithLateClosing,OpenOnWeekends,bestnight_monday,bestnight_tuesday,bestnight_wednesday,bestnight_thursday,bestnight_friday,bestnight_saturday,bestnight_sunday,music_dj,music_background_music,music_no_music,music_karaoke,music_live,music_video,music_jukebox,full_bar,beer_and_wine,no_alcohol,smoking_outdoor,smoking_no,smoking_yes,wifi_free,wifi_no,wifi_paid,noise_average,noise_loud,noise_quiet,noise_very_loud,price_range_1,price_range_2,price_range_3,price_range_4,attire_casual,attire_dressy
12 E Ogden Ave,False,True,False,,True,,False,False,False,True,False,True,True,True,Z0YOHYA6YtW131xULbnMzQ,"Breakfast & Brunch, Restaurants, American (Traditional)",Las Vegas,0.0,0.0,0.0,23.5,0.0,0.0,0.0,36.1729495,-115.14474209999999,Market Street Cafe,Downtown,89101,698,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,108.0,472.0,3.70487106017192,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,23.5,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
7181 W Craig Rd,False,True,False,,True,,False,False,False,True,False,False,True,False,dlTgsi51JXinnmijEVuITw,"American (Traditional), Restaurants, Southern, Fast Food, Chicken Wings",Las Vegas,13.0,13.0,13.0,13.0,13.0,13.0,13.0,36.2393899,-115.25106129999999,Popeyes Louisiana Kitchen,Northwest,89129,54,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,12.0,25.0,2.759259259259259,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,91.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
5757 Wayne Newton Blvd,False,True,False,,True,,False,False,False,False,False,False,True,,ET8WuErpImo0zxS673gLxw,"American (Traditional), American (New), Juice Bars & Smoothies, Vegetarian, Restaurants, Food, Comfort Food, Cafes",Las Vegas,15.0,15.0,14.5,14.5,15.0,15.0,15.0,36.080971999999996,-115.13580400000001,Rachel's Kitchen,Southeast,89136,46,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,8.0,33.0,4.108695652173913,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,104.0,5.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
9777 S Las Vegas Blvd,,,,,False,,,,,,,,,,d6m_X827VcM6ZV5C4yTiHw,"Bingo Halls, Casinos, Restaurants, Arts & Entertainment, American (Traditional)",Las Vegas,14.0,14.0,14.0,14.0,14.0,14.0,14.0,36.0108832786,-115.17586827299999,Bingo at South Point,Southeast,89183,51,NV,american,Las Vegas_american_nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,45.0,3.9607843137254894,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,98.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
335 Hughes Center Dr,False,True,True,,False,True,True,True,False,True,True,True,True,True,OPxWcHK96_cbmiF7legDnA,"Steakhouses, American (Traditional), Bars, Salad, Nightlife, Restaurants, Seafood, Cocktail Bars",Las Vegas,11.0,11.0,5.0,4.0,11.0,11.0,11.0,36.1150754866,-115.156941325,McCormick & Schmick's Seafood & Steaks,Eastside,89169,239,NV,american,Las Vegas_american_3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,33.0,172.0,3.3347280334728038,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,64.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
"7040 South Durango Dr, Ste 103",,True,,,True,,,False,False,True,False,,True,,qSNGooHe2XPOJMZI1mu-LQ,"Restaurants, Sandwiches, American (Traditional), American (New)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.060102997600005,-115.278773816,Subway,Spring Valley,89113,17,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,11.0,3.647058823529412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1021 S Buffalo Dr,,True,,,True,,,False,False,True,False,True,True,True,q7OKOkEK-pgAQNjDiVd4bA,"Restaurants, Burgers, American (Traditional)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.159785,-115.261803,Kilroy's,Westside,89162,12,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,9.0,2.833333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"6584 N Decatur Blvd, Ste 100",True,True,True,,True,,True,True,False,True,False,False,True,True,2RFe9vDTzyBkF4mvsFDDow,"Southern, American (Traditional), Barbeque, Restaurants",Las Vegas,10.0,10.0,10.0,10.0,10.0,10.0,10.0,36.2799309122,-115.20637698,Dickey's Barbecue Pit,,89131,157,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,17.0,99.0,3.1974522292993632,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,70.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
5725 E Charleston Blvd,True,True,False,,True,,False,True,False,True,False,False,True,,h-1cbSCEMQlf3ampVX6pLw,"Food, American (Traditional), Restaurants, Fast Food, Burgers, Ice Cream & Frozen Yogurt",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1588998269,-115.04932299299999,Sonic Drive-In,Sunrise,89142,50,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,6.0,21.0,2.7,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
727 Wright Brothers Ln,False,True,False,,False,,True,False,False,True,False,True,True,,YKVYdzkdGNTHRJvWehY5Og,"American (Traditional), Sandwiches, Restaurants, Burgers",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.08316,-115.145248,Sammy's Beach Bar & Grill,Southeast,89119,147,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,26.0,58.0,2.4421768707482987,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
3801 Las Vegas Blvd S,,,,,True,,,False,,True,,True,,True,MP9LqzWeWTuMU4VkZo_M2w,"Restaurants, American (Traditional)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.099777,-115.1725943,Garden Cafe,The Strip,89109,10,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,6.0,2.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"4280 Hualapi, #108",True,True,True,False,True,True,True,False,False,True,False,True,True,True,E67gGK8yOn9kkNzx8FzQKA,"American (Traditional), Nightlife, Chicken Wings, Sports Bars, Bars, Restaurants",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11226110000001,-115.31422420000001,Buffalo Wild Wings,Spring Valley,89147,305,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,48.0,174.0,3.1311475409836067,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
1100 N Martin Luther King Blvd,True,True,,,True,,True,False,False,True,False,,True,,sVr_5-H0emPH9BcCiwG8xA,"American (Traditional), Soul Food, Restaurants",Las Vegas,9.5,0.0,9.5,9.5,9.5,9.5,9.5,36.1828359,-115.1607696,Side Chix Cafe,,89106,20,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,17.0,4.15,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,57.0,0.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
921 N Buffalo Dr,True,True,False,False,False,True,True,False,False,True,False,True,True,,cWfqbkMit27-Pg_bPUTwCg,"Bars, Nightlife, American (Traditional), American (New), Restaurants",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1822443827,-115.260271062,Roadrunner Saloon,Summerlin,89128,91,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,9.0,66.0,3.131868131868132,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
"2050 East Serene Ave, Ste 601",True,True,False,,True,,True,False,False,True,False,True,True,,YP800TNLAj0MSMgmplxc_A,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, American (Traditional)",Las Vegas,14.0,13.5,14.0,13.5,13.5,13.5,13.5,36.0208474,-115.12529540000001,Metro Diner,Southeast,89123,135,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,121.0,4.318518518518519,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,95.5,5.0,1.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2375 E Torino Ave,False,True,False,,False,,True,False,False,True,False,True,True,,-kbPPBNsIPDfMfgUGO7QhA,"Restaurants, American (Traditional)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.02910960000001,-115.1193868,Kopper Keg South,Southeast,89123,24,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,18.0,3.9583333333333335,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
955 Grier Dr,,True,False,,True,,True,True,False,True,False,False,True,True,2LL-pWxdM_rvnaIpNxezsQ,"American (Traditional), Restaurants, Burgers",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.068048,-115.141921,Slidin' Thru HQ,Southeast,89119,77,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,8.0,65.0,4.2727272727272725,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
5630 S Hualapai Way,True,True,False,False,False,True,True,False,False,True,False,True,True,True,KHROx3AxX8btg70JDPbIqg,"Pubs, Dive Bars, American (Traditional), American (New), Bars, Restaurants, Nightlife, Sports Bars",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.086323,-115.31482609999999,PT's,Spring Valley,89148,49,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,4.0,34.0,3.625,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
"2620 Regatta Dr, Ste 118",True,True,True,,False,,True,True,True,True,True,True,True,True,siuAD-vFRYAjozc332wq3g,"American (Traditional), Steakhouses, Bars, American (New), Lounges, Restaurants, Nightlife",Las Vegas,10.5,0.0,10.5,11.0,10.5,10.5,10.5,36.207220663499996,-115.26795603,Americana,Summerlin,89128,266,NV,american,Las Vegas_american_3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,15.0,235.0,4.462406015037594,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,63.5,0.0,0.0,2.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
"9210 S Eastern Ave, Ste 115",True,True,True,,True,,False,False,True,True,False,False,True,False,3YV-GLtQLI3sbZDZ-0NN4Q,"Food, Restaurants, American (Traditional), Sandwiches",Las Vegas,11.0,11.0,10.0,8.0,11.0,11.0,11.0,36.0220196338,-115.117877614,Capriotti's Sandwich Shop,Southeast,89123,53,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,10.0,23.0,3.320754716981132,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,73.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
3750 Las Vegas Blvd S,,,,,False,,,,False,True,,,False,,S-xZzaHeMyMcqf66GAC4wA,"Bars, Arts & Entertainment, Nightlife, Restaurants, American (Traditional), Casinos",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.106004,-115.1742387,Boardwalk Hotel & Casino,The Strip,89109,13,NV,american,Las Vegas_american_nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,8.0,3.1538461538461537,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3001 S Las Vegas Blvd,True,True,False,,True,,False,False,False,True,False,True,True,True,da17_EW7GaYZWw1Z1JKSmw,"Diners, Restaurants, American (Traditional), Breakfast & Brunch",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.132993292100004,-115.16378667200001,Denny's,The Strip,89109,150,NV,american,Las Vegas_american_1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,23.0,70.0,2.7432432432432434,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
1089 E Tropicana Ave,False,True,False,False,False,True,True,False,False,True,False,False,True,,mZI_wVrLOjz4M-QIC9n-jA,"American (New), Bars, Nightlife, Pubs, Restaurants, Sports Bars, American (Traditional)",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.100367999999996,-115.139525,Pt's Pub,Southeast,89119,38,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,4.0,19.0,2.526315789473684,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
4875 West Oakey Blvd,,True,,,True,,,,False,True,False,,True,,QVcSKzl47nrO_LWFzz5AJQ,"Restaurants, American (Traditional), Food Stands, Persian/Iranian",Las Vegas,16.0,0.0,16.0,16.0,0.0,0.0,0.0,36.1517469,-115.2053706,Cactus Cafe,Westside,89102,10,NV,american,Las Vegas_american_nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.0,4.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48.0,0.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115 E Tropicana Ave,True,True,False,,False,,True,True,False,True,False,True,True,True,4GXII-GU7S0ZyU6ElkhscQ,"American (Traditional), Restaurants, Casinos, Nightlife, Bars, American (New), Hotels, Arts & Entertainment, Chicken Wings, Hotels & Travel, Event Planning & Services",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.099345899999996,-115.167874,Hooters Casino Hotel Las Vegas,Southeast,89109,1432,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.0,191.0,702.0,2.34427374301676,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,True,0.0,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2025 Village Center Dr,True,True,True,,True,,True,True,False,True,False,True,True,True,PtwW1Hwme8Y0wy54zNr8Xw,"American (Traditional), American (New), Restaurants, Breakfast & Brunch",Las Vegas,9.0,9.0,9.0,9.0,9.0,9.0,9.0,36.1910596779,-115.304284944,Egg Works,Summerlin,89134,446,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,44.0,375.0,4.352017937219731,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,63.0,5.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
6371 Centennial Center Blvd,True,True,False,,True,,True,False,False,True,False,True,True,True,ZXfMiPsPv-cH7GMQ-5-mhA,"American (Traditional), Seafood, Steakhouses, Restaurants",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.27389960000001,-115.26926540000001,Montana Meat Company,Centennial,89149,204,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,24.0,137.0,3.357843137254902,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.0,0.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
6775 W Flamingo Rd,True,True,False,,True,,True,True,False,True,False,False,True,,qAz6G72Xnrgxnep6mKUnWg,"Restaurants, Fast Food, American (Traditional), Burgers",Las Vegas,14.0,12.0,14.0,12.0,12.0,12.0,12.0,36.1140874,-115.2404642,Fatburger,,89103,93,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,11.0,36.0,2.3440860215053765,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,88.0,0.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
3763 Las Vegas Blvd S,True,True,False,,True,,True,True,False,True,False,False,True,True,LtXy1VinKWfuLFslVarKRw,"Fast Food, American (Traditional), Restaurants, Burgers",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1053153086,-115.17236512,Fatburger,The Strip,89019,655,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0,129.0,381.0,3.433587786259542,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,0.0,5.0,5.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
3540 W Sahara Ave,True,True,False,False,False,True,True,True,False,True,True,True,True,True,bPh7M1vos_V-g8_s-eHaNA,"Pubs, Restaurants, Sports Bars, Burgers, Bars, American (New), American (Traditional), Nightlife",Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1457065146,-115.18830379100001,Rebel Republic,Westside,89102,245,NV,american,Las Vegas_american_2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,19.0,209.0,4.1755102040816325,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,0.0,5.0,5.0,2.0,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
